Resale Price (RM),Brand Make,Model,Year of Manufacturer,Mileage (KM),Condition,Petrol Type,Transmission Type
74589,Toyota,Corolla,2021,79344,Good,Petrol,CVT
240317,Lexus,IS,2024,26681,Excellent,Petrol,Automatic
96868,Nissan,Serena,2022,44835,Very Good,Petrol,Automatic
30146,Toyota,Camry,2015,227040,Poor,Hybrid,Automatic
130928,Nissan,Serena,2024,13866,Excellent,Petrol,Automatic
90730,Toyota,Hilux,2023,49988,Good,Petrol,Manual
48581,Mazda,CX-5,2018,100471,Fair,Petrol,Automatic
73094,Honda,Accord,2019,110040,Good,Hybrid,Automatic
69281,Mazda,Mazda3,2020,73775,Good,Petrol,Automatic
154963,Honda,Accord,2023,33328,Excellent,Petrol,Automatic
85679,Lexus,IS,2018,118790,Good,Petrol,Automatic
78396,Lexus,IS,2018,102011,Fair,Hybrid,Automatic
128264,Mazda,CX-5,2023,48538,Very Good,Petrol,Automatic
140394,Mazda,Mazda6,2023,37686,Excellent,Petrol,Automatic
93861,Mazda,Mazda2,2024,22659,Excellent,Petrol,Automatic
117294,Mazda,Mazda6,2022,73620,Very Good,Petrol,Automatic
70559,Nissan,Navara,2022,67764,Very Good,Diesel,Automatic
225981,Lexus,RX,2021,60548,Very Good,Hybrid,Automatic
110626,Mazda,Mazda6,2021,48892,Very Good,Petrol,Automatic
98675,Lexus,NX,2017,199576,Good,Petrol,Automatic
299179,Lexus,NX,2023,32202,Excellent,Hybrid,Automatic
70905,Toyota,Hilux,2021,89024,Very Good,Diesel,Automatic
44445,Nissan,Navara,2020,123010,Fair,Diesel,Manual
146246,Lexus,ES,2020,112605,Good,Petrol,Automatic
282421,Lexus,ES,2024,26046,Excellent,Hybrid,Automatic
100288,Nissan,Navara,2024,23211,Excellent,Petrol,Automatic
96533,Honda,Civic,2023,49726,Very Good,Petrol,Automatic
328341,Lexus,RX,2023,36298,Excellent,Hybrid,Automatic
112188,Toyota,Camry,2021,69972,Very Good,Petrol,Automatic
36186,Toyota,Vios,2020,111605,Fair,Petrol,Automatic
55179,Mazda,Mazda6,2017,177960,Good,Petrol,Automatic
68814,Honda,HR-V,2021,89532,Very Good,Petrol,Automatic
235142,Lexus,NX,2022,40254,Good,Hybrid,Automatic
52776,Toyota,Vios,2021,83732,Good,Petrol,Automatic
142233,Honda,Accord,2023,38486,Excellent,Hybrid,Automatic
380000,Lexus,RX,2024,17808,Excellent,Hybrid,Automatic
97257,Mazda,Mazda6,2020,66490,Very Good,Petrol,Automatic
232445,Lexus,IS,2024,17008,Excellent,Petrol,Automatic
362277,Lexus,RX,2024,26924,Excellent,Hybrid,Automatic
36935,Toyota,Yaris,2019,95568,Good,Petrol,Automatic
95531,Toyota,Hilux,2023,30620,Excellent,Petrol,Manual
93705,Mazda,CX-5,2021,97724,Very Good,Petrol,Automatic
302328,Lexus,RX,2023,51434,Good,Petrol,Automatic
19742,Toyota,Yaris,2016,190980,Fair,Petrol,Automatic
280091,Lexus,NX,2023,28810,Excellent,Petrol,Automatic
135894,Toyota,Camry,2022,44124,Very Good,Petrol,Automatic
63006,Mazda,Mazda2,2022,44073,Very Good,Petrol,Automatic
136792,Honda,CR-V,2023,35470,Excellent,Petrol,Automatic
35026,Toyota,Yaris,2020,100250,Fair,Petrol,Automatic
55217,Toyota,Yaris,2022,66315,Good,Petrol,Automatic
29963,Toyota,Yaris,2018,170737,Good,Petrol,Automatic
111173,Toyota,Corolla,2023,32960,Excellent,Petrol,CVT
33382,Nissan,Navara,2017,180688,Good,Diesel,Manual
71183,Toyota,Yaris,2023,27080,Excellent,Petrol,Automatic
45512,Mazda,Mazda2,2020,110530,Good,Petrol,Automatic
58945,Nissan,Serena,2019,81330,Good,Petrol,Automatic
42564,Honda,Jazz,2020,91785,Good,Petrol,CVT
208008,Lexus,RX,2020,96330,Very Good,Hybrid,Automatic
103587,Honda,Accord,2021,52132,Good,Petrol,Automatic
98583,Honda,CR-V,2022,49347,Good,Petrol,Automatic
191305,Lexus,RX,2020,119685,Good,Petrol,Automatic
85477,Honda,Accord,2020,105290,Good,Hybrid,Automatic
40727,Mazda,Mazda2,2019,113016,Good,Petrol,Automatic
132769,Lexus,IS,2021,95296,Good,Petrol,Automatic
126329,Nissan,Serena,2024,26025,Excellent,Petrol,Automatic
75478,Mazda,Mazda2,2023,37436,Excellent,Petrol,Automatic
162944,Honda,Accord,2024,23667,Excellent,Hybrid,Automatic
28730,Toyota,Yaris,2017,108552,Good,Petrol,Automatic
27838,Mazda,Mazda2,2017,214360,Good,Petrol,Automatic
50527,Mazda,Mazda2,2021,67032,Good,Petrol,Automatic
64603,Toyota,Vios,2022,66162,Very Good,Petrol,Automatic
122481,Mazda,CX-5,2023,50990,Very Good,Petrol,Automatic
62527,Honda,CR-V,2019,136830,Good,Petrol,Automatic
233150,Lexus,ES,2023,48866,Very Good,Hybrid,Automatic
282215,Lexus,NX,2023,27394,Excellent,Petrol,Automatic
61358,Lexus,NX,2016,239985,Poor,Hybrid,Automatic
38551,Nissan,X-Trail,2017,167880,Fair,Petrol,Automatic
55587,Toyota,Corolla,2019,102012,Good,Petrol,CVT
294022,Lexus,ES,2024,13373,Excellent,Hybrid,Automatic
