make,model,year,mileage_km,condition,transmission,fuel_type,price_rm
Lexus,IS250,2013,180247,Poor,CVT,Petrol,27054
Lexus,RX350,2020,75738,Good,CVT,Petrol,140034
Lexus,IS250,2025,26197,Good,Automatic,Petrol,52277
Lexus,NX300,2012,196442,Fair,Automatic,Petrol,67854
Lexus,NX300,2020,98811,Excellent,CVT,Petrol,129704
Lexus,IS250,2025,3000,New,Automatic,Hybrid,59655
Lexus,IS250,2025,12156,New,Automatic,Petrol,86679
Lexus,NX300,2023,36533,Like New,Automatic,Hybrid,194211
Lexus,RX350,2016,117238,Poor,Automatic,Petrol,31847
Lexus,UX200,2025,30304,Like New,CVT,Petrol,164106
Lexus,RX350,2025,30720,Like New,Automatic,Petrol,236829
Lexus,NX300,2012,204899,Fair,CVT,Petrol,67831
Lexus,UX200,2019,92977,Poor,CVT,Petrol,55287
Lexus,RX350,2019,77073,Good,CVT,Hybrid,145618
Lexus,IS250,2014,156467,Fair,CVT,Petrol,24782
Lexus,IS250,2011,219279,Poor,CVT,Petrol,16046
Lexus,UX200,2020,102103,Like New,CVT,Petrol,156005
Lexus,RX350,2018,95425,Fair,CVT,Hybrid,165506
Lexus,IS250,2023,8661,Good,CVT,Petrol,62423
Lexus,UX200,2024,3000,Like New,CVT,Petrol,158555
Lexus,UX200,2014,174903,Fair,CVT,Petrol,68915
Lexus,UX200,2022,52167,Good,CVT,Petrol,127675
Lexus,ES250,2019,81302,Good,CVT,Hybrid,122315
Lexus,IS250,2022,63022,Good,Automatic,Petrol,84612
Lexus,RX350,2024,21336,New,CVT,Petrol,287281
Lexus,UX200,2019,80998,Good,Automatic,Petrol,108748
Lexus,UX200,2013,189541,Fair,Automatic,Petrol,65897
Lexus,ES250,2019,82484,Fair,CVT,Petrol,91100
Lexus,NX300,2024,3000,New,CVT,Petrol,156083
Lexus,IS250,2022,59192,Like New,CVT,Hybrid,144546
Lexus,UX200,2025,15246,Like New,CVT,Hybrid,148156
Lexus,IS250,2020,77328,Excellent,Automatic,Hybrid,46534
Lexus,UX200,2017,105257,Fair,Automatic,Petrol,81553
Lexus,NX300,2023,6546,Excellent,CVT,Petrol,180854
Lexus,RX350,2016,144926,Good,Automatic,Petrol,162235
Lexus,IS250,2022,37171,Excellent,Automatic,Hybrid,46645
Lexus,UX200,2010,240400,Good,Automatic,Petrol,73452
Lexus,RX350,2018,109526,Good,CVT,Petrol,88659
Lexus,ES250,2019,106127,Good,CVT,Hybrid,142995
Lexus,RX350,2025,8258,New,Automatic,Petrol,164213
Lexus,IS250,2018,104778,Excellent,CVT,Petrol,78567
Lexus,RX350,2016,152814,Excellent,CVT,Hybrid,172999
Lexus,UX200,2025,17516,Excellent,Automatic,Petrol,127548
Lexus,NX300,2011,214503,Fair,Automatic,Petrol,53732
Lexus,RX350,2020,77638,Good,CVT,Hybrid,171579
Lexus,RX350,2023,17036,Good,CVT,Petrol,169745
Lexus,RX350,2013,152423,Fair,CVT,Petrol,70647
Lexus,RX350,2011,208573,Good,Automatic,Petrol,45848
Lexus,UX200,2020,69061,Like New,CVT,Hybrid,133492
Lexus,RX350,2017,127469,Fair,CVT,Petrol,45858
Lexus,RX350,2017,124371,Good,Automatic,Hybrid,161670
Lexus,NX300,2011,213603,Good,CVT,Petrol,103830
Lexus,NX300,2010,208116,Good,Automatic,Petrol,83828
Lexus,UX200,2022,44594,Excellent,Automatic,Petrol,116629
Lexus,NX300,2022,36057,Good,CVT,Petrol,168716
Lexus,RX350,2017,93504,Good,CVT,Petrol,122057
Lexus,NX300,2018,99354,Fair,CVT,Petrol,77599
Lexus,RX350,2017,119880,Poor,CVT,Hybrid,52249
Lexus,ES250,2015,160910,Good,CVT,Petrol,79180
Lexus,RX350,2016,128595,Good,Automatic,Petrol,132051
Lexus,UX200,2021,53329,Excellent,CVT,Hybrid,120601
Lexus,ES250,2010,228264,Fair,CVT,Petrol,27421
Lexus,IS250,2015,150765,Good,Automatic,Petrol,28714
Lexus,UX200,2018,128493,Fair,CVT,Petrol,82232
Lexus,RX350,2011,203268,Poor,Automatic,Petrol,37638
Lexus,RX350,2025,3000,Like New,Automatic,Petrol,98317
Lexus,UX200,2020,88497,Fair,CVT,Petrol,73825
Lexus,RX350,2021,66176,Excellent,Automatic,Petrol,184844
Lexus,ES250,2024,33939,New,CVT,Petrol,143071
Lexus,IS250,2022,49886,Like New,CVT,Hybrid,134921
Lexus,IS250,2024,3504,New,CVT,Petrol,84080
Lexus,IS250,2015,149710,Good,CVT,Petrol,77138
Lexus,ES250,2019,118253,Good,CVT,Hybrid,96253
Lexus,ES250,2022,56457,Like New,CVT,Petrol,120132
Lexus,IS250,2015,162687,Good,CVT,Petrol,26584
Lexus,IS250,2018,125845,Good,Automatic,Petrol,47602
Lexus,ES250,2015,139191,Good,CVT,Hybrid,116837
Lexus,RX350,2019,80860,Good,CVT,Petrol,84738
Lexus,UX200,2020,54553,Like New,CVT,Hybrid,158234
Lexus,UX200,2023,35141,Fair,CVT,Petrol,101130
Lexus,NX300,2022,49513,Excellent,Automatic,Petrol,111443
Lexus,RX350,2025,10805,New,Automatic,Petrol,231874
Lexus,UX200,2023,21159,Excellent,CVT,Petrol,171294
Lexus,NX300,2018,103928,Good,Automatic,Petrol,85279
Lexus,IS250,2022,54560,Good,CVT,Hybrid,58467
Lexus,RX350,2022,58217,Excellent,CVT,Hybrid,202264
Lexus,NX300,2015,163449,Good,CVT,Petrol,74912
Lexus,UX200,2022,33451,Like New,Automatic,Hybrid,156009
Lexus,IS250,2014,158639,Fair,CVT,Petrol,29407
Lexus,ES250,2024,6014,Excellent,CVT,Petrol,147360
Lexus,IS250,2020,80166,Like New,CVT,Petrol,101545
Lexus,UX200,2024,34331,Excellent,Automatic,Petrol,150885
Lexus,IS250,2021,65982,Good,CVT,Petrol,68286
Lexus,IS250,2016,117258,Poor,CVT,Petrol,45776
Lexus,UX200,2025,3000,New,CVT,Petrol,181538
Lexus,IS250,2025,6819,New,CVT,Petrol,157596
Lexus,RX350,2013,192738,Fair,Automatic,Petrol,47290
Lexus,RX350,2022,72998,Excellent,Automatic,Petrol,219965
Lexus,UX200,2019,95819,Fair,Automatic,Petrol,102115
Lexus,RX350,2021,40357,Excellent,CVT,Hybrid,91518
Lexus,ES250,2013,174133,Good,Automatic,Petrol,43008
Lexus,UX200,2022,47459,Good,CVT,Petrol,128455
Lexus,RX350,2014,157986,Fair,CVT,Petrol,98906
Lexus,IS250,2022,31447,Good,Automatic,Hybrid,93610
Lexus,IS250,2014,160762,Fair,Automatic,Petrol,41186
Lexus,RX350,2011,210974,Good,Automatic,Petrol,66078
Lexus,IS250,2013,183155,Good,Automatic,Petrol,34484
Lexus,ES250,2020,66885,Excellent,CVT,Petrol,87239
Lexus,IS250,2017,141668,Fair,CVT,Petrol,63815
Lexus,NX300,2013,185464,Good,Automatic,Petrol,66825
Lexus,NX300,2012,216959,Fair,CVT,Petrol,81092
Lexus,UX200,2025,13538,Excellent,CVT,Petrol,139273
Lexus,IS250,2023,48544,Good,CVT,Hybrid,79625
Lexus,RX350,2022,48464,Excellent,CVT,Petrol,247513
Lexus,UX200,2019,85162,Good,CVT,Petrol,130117
Lexus,ES250,2014,158777,Good,Automatic,Petrol,94928
Lexus,ES250,2024,15435,Like New,Automatic,Petrol,130365
Lexus,ES250,2016,156753,Fair,Automatic,Hybrid,71645
Lexus,NX300,2015,157112,Fair,CVT,Petrol,65136
Lexus,RX350,2025,12659,Like New,CVT,Hybrid,243547
Lexus,ES250,2024,12420,Like New,CVT,Hybrid,186491
Lexus,NX300,2011,215285,Fair,CVT,Petrol,44223
Lexus,IS250,2012,164546,Fair,Automatic,Petrol,37553
Lexus,NX300,2019,89387,Fair,Automatic,Petrol,56636
Lexus,ES250,2024,13957,Excellent,CVT,Petrol,139836
Lexus,ES250,2018,98407,Good,Automatic,Petrol,66527
Lexus,UX200,2015,170061,Good,CVT,Hybrid,112148
Lexus,ES250,2021,73018,Like New,CVT,Petrol,73562
Lexus,NX300,2021,72296,Fair,CVT,Petrol,99710
Lexus,IS250,2017,143038,Fair,CVT,Hybrid,34874
Lexus,RX350,2025,8137,Like New,CVT,Hybrid,178615
Lexus,NX300,2023,37923,Good,CVT,Petrol,139730
Lexus,UX200,2010,217583,Poor,Automatic,Petrol,40936
Lexus,ES250,2019,85639,Excellent,CVT,Hybrid,77477
Lexus,NX300,2018,89294,Fair,CVT,Petrol,114879
Lexus,RX350,2024,5171,New,CVT,Hybrid,174774
Lexus,NX300,2022,59204,Excellent,Automatic,Hybrid,205209
Lexus,RX350,2014,177098,Poor,CVT,Petrol,52746
Lexus,RX350,2013,178083,Fair,Automatic,Petrol,69884
Lexus,ES250,2022,49697,Excellent,CVT,Petrol,180696
Lexus,RX350,2017,129520,Fair,Automatic,Petrol,47310
Lexus,ES250,2025,21460,New,CVT,Hybrid,162146
Lexus,UX200,2012,210076,Fair,CVT,Petrol,55117
Lexus,RX350,2015,159714,Fair,Automatic,Petrol,57352
Lexus,ES250,2010,230313,Poor,Automatic,Petrol,27548
Lexus,ES250,2025,3000,New,Automatic,Petrol,119828
Lexus,RX350,2022,31541,Excellent,Automatic,Petrol,254741
Lexus,ES250,2016,127726,Good,CVT,Hybrid,115506
Lexus,ES250,2019,87406,Good,CVT,Hybrid,137197
Lexus,UX200,2011,218243,Fair,CVT,Petrol,57037
Lexus,RX350,2025,14840,Like New,CVT,Petrol,193940
Lexus,NX300,2023,9639,Excellent,CVT,Hybrid,121592
Lexus,RX350,2022,52332,Excellent,CVT,Hybrid,151979
Lexus,RX350,2021,47190,Good,Automatic,Hybrid,129218
Lexus,UX200,2016,122010,Fair,Automatic,Petrol,69983
Lexus,IS250,2019,105316,Good,CVT,Hybrid,105739
Lexus,RX350,2019,89356,Good,Automatic,Hybrid,113744
Lexus,ES250,2011,206783,Fair,Automatic,Petrol,63327
Lexus,UX200,2022,48438,Fair,Automatic,Hybrid,92620
