make,model,year,mileage_km,condition,transmission,fuel_type,price_rm
Honda,Freed,2011,192877,Poor,Automatic,Petrol,10603
Honda,City,2025,8044,Like New,CVT,Petrol,76744
Honda,Accord,2022,56139,Excellent,Automatic,Petrol,93199
Honda,HR-V,2016,122466,Good,CVT,Petrol,56664
Honda,Accord,2021,70117,Good,CVT,Petrol,31529
Honda,Accord,2024,5385,Like New,CVT,Petrol,160667
Honda,HR-V,2025,2000,New,CVT,Petrol,64221
Honda,BR-V,2014,157943,Fair,CVT,Petrol,24394
Honda,Civic,2010,201811,Good,Manual,Petrol,48866
Honda,Accord,2024,24475,New,CVT,Petrol,103273
Honda,Civic,2017,103969,Poor,CVT,Petrol,39214
Honda,Accord,2012,203232,Fair,Automatic,Petrol,26714
Honda,CR-V,2022,32373,Excellent,Manual,Petrol,148772
Honda,Jazz,2012,192804,Fair,Automatic,Petrol,17704
Honda,City,2015,134285,Fair,CVT,Petrol,25952
Honda,City,2023,37340,Good,Automatic,Hybrid,40658
Honda,Jazz,2010,225734,Poor,Manual,Petrol,9540
Honda,Civic,2022,44815,Excellent,CVT,Petrol,80543
Honda,BR-V,2023,52426,Like New,Automatic,Petrol,59127
Honda,Freed,2021,53341,Good,CVT,Petrol,32612
Honda,Jazz,2023,15728,Like New,CVT,Petrol,38629
Honda,BR-V,2011,194929,Fair,Automatic,Petrol,21099
Honda,Freed,2011,196823,Fair,Manual,Petrol,11902
Honda,CR-V,2021,70934,Good,Automatic,Hybrid,84412
Honda,Freed,2017,115993,Fair,Automatic,Petrol,22889
Honda,Civic,2019,78496,Good,Automatic,Petrol,78975
Honda,CR-V,2016,111816,Good,Manual,Petrol,68108
Honda,HR-V,2017,104738,Good,CVT,Petrol,59079
Honda,HR-V,2018,108328,Fair,Automatic,Petrol,51758
Honda,Civic,2020,72097,Good,CVT,Petrol,85806
Honda,Jazz,2011,181404,Good,Manual,Petrol,17130
Honda,HR-V,2016,129718,Good,Automatic,Petrol,62032
Honda,Jazz,2023,20910,Excellent,CVT,Petrol,25215
Honda,HR-V,2019,69624,Good,CVT,Petrol,85776
Honda,CR-V,2012,183956,Poor,Automatic,Petrol,31609
Honda,City,2017,115645,Fair,Automatic,Petrol,33052
Honda,BR-V,2014,191795,Poor,Automatic,Petrol,10781
Honda,Accord,2022,48704,Good,CVT,Petrol,52372
Honda,CR-V,2023,25180,Excellent,CVT,Petrol,80449
Honda,City,2011,198843,Good,Manual,Petrol,14324
Honda,Civic,2019,59059,Good,Automatic,Petrol,58935
Honda,Freed,2018,89779,Fair,CVT,Petrol,14542
Honda,City,2023,41707,Excellent,Automatic,Petrol,27525
Honda,Jazz,2020,78827,Excellent,Automatic,Petrol,28460
Honda,BR-V,2014,172184,Fair,Automatic,Petrol,17122
Honda,HR-V,2014,170159,Fair,CVT,Petrol,42905
Honda,Jazz,2015,119573,Fair,Automatic,Petrol,17114
