make,model,year,mileage_km,condition,transmission,fuel_type,price_rm
Mazda,CX-5,2023,28085,Good,Automatic,Petrol,124571
Mazda,Mazda 3,2019,92986,Good,Automatic,Petrol,25922
Mazda,CX-5,2021,71809,Good,Automatic,Petrol,97261
Mazda,Mazda 6,2023,44069,Excellent,CVT,Petrol,29813
Mazda,Mazda 6,2018,114184,Good,CVT,Petrol,88969
Mazda,CX-5,2015,162565,Fair,Automatic,Petrol,36315
Mazda,CX-5,2018,82507,Good,Automatic,Petrol,45308
Mazda,Mazda 6,2011,237934,Poor,Automatic,Petrol,14155
Mazda,Mazda 3,2012,206666,Fair,Automatic,Petrol,18271
Mazda,CX-9,2023,14443,Good,Automatic,Petrol,65546
Mazda,Mazda 3,2025,3000,Excellent,Automatic,Petrol,102785
Mazda,Mazda 6,2022,80303,Like New,Automatic,Petrol,75373
Mazda,CX-9,2019,115440,Excellent,Automatic,Petrol,155339
Mazda,Mazda 3,2018,112492,Poor,Automatic,Petrol,33208
Mazda,CX-5,2025,6077,Like New,Automatic,Petrol,78640
Mazda,CX-5,2023,61786,Excellent,Automatic,Petrol,95409
Mazda,CX-9,2016,139140,Good,Automatic,Petrol,95858
Mazda,Mazda 3,2021,67196,Good,Automatic,Petrol,42132
Mazda,CX-5,2013,198800,Fair,Automatic,Petrol,21726
Mazda,CX-9,2012,211957,Fair,Automatic,Petrol,46213
Mazda,CX-9,2018,113422,Good,CVT,Petrol,125536
Mazda,CX-9,2015,175470,Excellent,Automatic,Petrol,75124
Mazda,CX-3,2025,18747,New,Automatic,Petrol,117961
Mazda,CX-5,2020,103612,Like New,CVT,Petrol,76171
Mazda,Mazda 3,2020,75285,Fair,Automatic,Petrol,48594
Mazda,CX-9,2022,56155,Good,Automatic,Petrol,134605
Mazda,CX-9,2010,260940,Fair,Automatic,Petrol,32363
Mazda,CX-3,2021,54877,Good,Automatic,Petrol,73988
Mazda,Mazda 6,2016,170649,Fair,Automatic,Petrol,22716
Mazda,CX-5,2023,24669,Good,Automatic,Petrol,80122
Mazda,CX-9,2014,181502,Good,Automatic,Petrol,61639
Mazda,CX-5,2022,68091,Good,Automatic,Petrol,108279
Mazda,CX-9,2012,216603,Poor,Automatic,Petrol,29214
Mazda,Mazda 6,2023,64723,Excellent,Automatic,Petrol,103038
Mazda,Mazda 3,2010,252302,Poor,Automatic,Petrol,6613
Mazda,CX-5,2021,58631,Excellent,CVT,Petrol,62763
Mazda,CX-9,2016,127199,Poor,Automatic,Petrol,72987
Mazda,Mazda 3,2022,23183,Good,Automatic,Petrol,26664
Mazda,CX-3,2020,94518,Good,Automatic,Petrol,58967
Mazda,Mazda 3,2022,41891,Good,Automatic,Petrol,36510
Mazda,CX-5,2021,40799,Excellent,Automatic,Petrol,111278
Mazda,Mazda 3,2025,13544,New,Automatic,Petrol,85558
Mazda,CX-9,2023,26565,Good,Automatic,Petrol,179713
Mazda,Mazda 6,2013,211138,Poor,Automatic,Petrol,15806
Mazda,Mazda 3,2016,174907,Fair,Automatic,Petrol,38692
Mazda,Mazda 3,2017,135661,Good,Automatic,Petrol,40735
Mazda,Mazda 3,2013,160180,Fair,Automatic,Petrol,22155
Mazda,Mazda 3,2022,61663,Excellent,Automatic,Petrol,85483
Mazda,CX-9,2013,187968,Fair,Automatic,Petrol,27431
Mazda,Mazda 3,2021,61284,Excellent,CVT,Petrol,23424
Mazda,Mazda 3,2022,33112,Excellent,CVT,Petrol,49377
Mazda,Mazda 6,2024,10356,Good,Automatic,Petrol,89469
Mazda,Mazda 6,2017,136529,Good,Automatic,Petrol,31026
Mazda,CX-9,2015,141963,Good,Automatic,Petrol,120509
Mazda,Mazda 6,2019,105335,Good,Automatic,Petrol,40895
Mazda,Mazda 3,2011,255757,Good,Automatic,Petrol,8141
Mazda,Mazda 6,2020,84877,Good,Automatic,Petrol,50217
Mazda,Mazda 3,2012,231230,Good,Automatic,Petrol,19736
Mazda,CX-3,2019,92556,Good,Automatic,Petrol,45096
Mazda,Mazda 3,2016,123505,Poor,Automatic,Petrol,25834
Mazda,CX-9,2022,15517,Excellent,Automatic,Petrol,197629
Mazda,CX-3,2018,116358,Good,Automatic,Petrol,37504
Mazda,CX-5,2024,3000,New,Automatic,Petrol,107974
Mazda,CX-9,2019,111458,Good,CVT,Petrol,76440
Mazda,Mazda 3,2012,230167,Fair,Automatic,Petrol,16080
Mazda,Mazda 3,2018,95841,Excellent,CVT,Petrol,74513
Mazda,CX-9,2018,130736,Fair,CVT,Petrol,88147
Mazda,Mazda 3,2014,159361,Fair,Automatic,Petrol,14732
Mazda,CX-3,2021,57490,Good,Automatic,Petrol,59279
Mazda,CX-5,2015,155960,Fair,CVT,Petrol,41773
Mazda,CX-5,2020,74843,Excellent,CVT,Petrol,110853
Mazda,CX-5,2023,45824,Like New,CVT,Petrol,151018
Mazda,CX-3,2013,185230,Good,Manual,Petrol,31130
Mazda,CX-3,2020,82364,Excellent,Automatic,Petrol,94413
Mazda,CX-5,2019,88480,Good,CVT,Petrol,61337
Mazda,CX-5,2010,247121,Fair,Automatic,Petrol,24153
Mazda,CX-3,2015,141642,Poor,Automatic,Petrol,15833
Mazda,Mazda 3,2022,50804,Fair,Automatic,Petrol,31337
Mazda,CX-9,2024,3000,Like New,Automatic,Petrol,203062
Mazda,CX-9,2010,238959,Poor,Automatic,Petrol,32851
Mazda,Mazda 6,2021,78485,Good,Automatic,Petrol,24872
Mazda,Mazda 3,2023,19469,Good,Automatic,Petrol,28514
Mazda,CX-9,2018,98105,Excellent,CVT,Petrol,126494
Mazda,Mazda 6,2015,126612,Excellent,Automatic,Petrol,67893
Mazda,CX-5,2021,90344,Good,Automatic,Petrol,52129
Mazda,Mazda 3,2011,216233,Poor,Manual,Petrol,11222
Mazda,Mazda 6,2013,202602,Poor,Automatic,Petrol,24430
Mazda,CX-9,2024,24596,New,Automatic,Petrol,152535
Mazda,CX-5,2023,41764,Excellent,CVT,Petrol,106252
Mazda,CX-3,2016,149338,Good,Automatic,Petrol,33956
Mazda,CX-5,2015,159665,Good,Automatic,Petrol,57451
Mazda,CX-9,2010,256624,Poor,Automatic,Petrol,34890
Mazda,CX-5,2021,54943,Excellent,Automatic,Petrol,66841
Mazda,CX-5,2014,198308,Fair,Automatic,Petrol,48655
Mazda,CX-9,2022,37611,Excellent,Automatic,Petrol,137475
Mazda,CX-5,2024,3962,Excellent,Automatic,Petrol,109053
Mazda,Mazda 3,2014,170070,Poor,Automatic,Petrol,23180
Mazda,Mazda 3,2022,46399,Good,Automatic,Petrol,58917
Mazda,CX-9,2025,15630,New,Automatic,Petrol,100672
