make,model,year,mileage_km,condition,transmission,fuel_type,price_rm
Nissan,Sylphy,2023,28473,Fair,Automatic,Petrol,16465
Nissan,Almera,2019,93187,Good,Automatic,Petrol,15826
Nissan,Sylphy,2010,238429,Good,Automatic,Petrol,8507
Nissan,X-Trail,2021,68333,Like New,CVT,Petrol,80487
Nissan,X-Trail,2020,84103,Fair,Automatic,Petrol,56410
Nissan,Sylphy,2022,48266,Fair,CVT,Petrol,18290
Nissan,Sylphy,2023,13370,Like New,CVT,Petrol,15207
Nissan,X-Trail,2020,63986,Good,CVT,Petrol,77924
Nissan,Almera,2012,206755,Fair,Automatic,Petrol,11126
Nissan,Serena,2022,47563,Excellent,Automatic,Petrol,113202
Nissan,Almera,2025,2000,Excellent,Automatic,Petrol,55705
Nissan,X-Trail,2014,165846,Fair,Automatic,Petrol,23394
Nissan,Serena,2018,105470,Good,Automatic,Petrol,48306
Nissan,Almera,2018,112459,Poor,Automatic,Petrol,18342
Nissan,Sylphy,2020,61600,Excellent,Automatic,Petrol,31090
Nissan,Sylphy,2023,55913,Excellent,CVT,Petrol,26464
Nissan,Serena,2011,238535,Poor,Automatic,Petrol,21958
Nissan,Almera,2021,66983,Good,CVT,Petrol,24608
Nissan,Sylphy,2022,37637,Excellent,CVT,Petrol,16714
Nissan,Serena,2020,101956,Excellent,CVT,Petrol,59578
Nissan,Serena,2016,123239,Good,CVT,Petrol,45340
Nissan,Serena,2017,96971,Fair,Automatic,Petrol,49995
Nissan,Teana,2025,2000,New,CVT,Petrol,60645
Nissan,Sylphy,2018,115138,Poor,Automatic,Petrol,5474
Nissan,Almera,2020,75599,Fair,Manual,Petrol,27004
Nissan,Serena,2019,84131,Fair,Automatic,Petrol,50609
Nissan,Serena,2014,169704,Good,CVT,Petrol,32155
Nissan,Teana,2023,27516,Fair,Manual,Petrol,27326
Nissan,X-Trail,2019,108976,Good,Automatic,Petrol,63043
Nissan,Sylphy,2018,105760,Good,Automatic,Petrol,19850
Nissan,Serena,2017,137347,Fair,CVT,Petrol,33540
Nissan,Sylphy,2018,118701,Good,CVT,Petrol,9526
Nissan,Serena,2025,2000,New,CVT,Petrol,75648
Nissan,X-Trail,2013,187654,Poor,Manual,Petrol,20933
Nissan,Almera,2010,251482,Poor,Automatic,Petrol,4336
Nissan,Sylphy,2025,7005,New,Automatic,Petrol,14024
Nissan,Serena,2021,50809,Good,Automatic,Petrol,86522
Nissan,Almera,2022,24837,Good,Automatic,Petrol,16275
Nissan,Teana,2019,101297,Good,Automatic,Petrol,14018
Nissan,Almera,2022,42299,Good,Automatic,Petrol,21295
Nissan,Sylphy,2020,77998,Good,CVT,Petrol,14255
Nissan,Almera,2025,10175,New,Automatic,Petrol,46977
Nissan,Serena,2024,6044,New,Automatic,Petrol,104185
Nissan,X-Trail,2010,220172,Poor,Automatic,Petrol,11244
Nissan,Almera,2016,172846,Fair,Automatic,Petrol,21508
Nissan,Almera,2017,135150,Good,Automatic,Petrol,23349
Nissan,Almera,2013,162302,Fair,Automatic,Petrol,13122
Nissan,Almera,2022,60752,Excellent,Manual,Petrol,46951
Nissan,Serena,2022,50067,Fair,CVT,Petrol,35175
Nissan,Almera,2021,61465,Excellent,CVT,Petrol,14994
Nissan,Almera,2022,34105,Excellent,CVT,Petrol,28430
Nissan,X-Trail,2012,209708,Good,CVT,Petrol,14008
Nissan,X-Trail,2024,2000,Excellent,Automatic,Petrol,27964
Nissan,Serena,2018,83132,Excellent,CVT,Petrol,53084
Nissan,X-Trail,2015,174484,Good,CVT,Petrol,30369
Nissan,Almera,2011,253640,Good,Automatic,Petrol,6210
Nissan,X-Trail,2025,2000,Excellent,CVT,Hybrid,55963
Nissan,Almera,2012,229681,Good,Automatic,Petrol,12650
Nissan,Teana,2022,28590,Good,Automatic,Petrol,25007
Nissan,Almera,2016,124871,Poor,Manual,Petrol,14519
Nissan,Serena,2019,102208,Fair,CVT,Petrol,55626
Nissan,Teana,2016,104091,Poor,Automatic,Petrol,13543
Nissan,Sylphy,2024,11623,New,CVT,Petrol,18534
Nissan,Serena,2015,177966,Fair,CVT,Petrol,31640
Nissan,Almera,2012,228689,Fair,Automatic,Petrol,10076
Nissan,Almera,2018,96918,Excellent,CVT,Petrol,41304
Nissan,Serena,2010,234844,Good,Automatic,Petrol,15828
Nissan,Almera,2014,160470,Fair,Automatic,Petrol,9130
Nissan,Teana,2024,11404,Excellent,Manual,Petrol,51204
Nissan,Sylphy,2014,189335,Fair,CVT,Petrol,7595
Nissan,Sylphy,2025,2000,New,CVT,Petrol,14665
Nissan,Sylphy,2020,102775,Excellent,Automatic,Petrol,26582
Nissan,Teana,2016,144425,Good,Automatic,Petrol,24257
Nissan,Teana,2014,184599,Good,Automatic,Petrol,25302
Nissan,Sylphy,2016,171270,Poor,Automatic,Petrol,11564
Nissan,Sylphy,2019,86633,Good,CVT,Petrol,7713
Nissan,Teana,2020,85771,Excellent,Automatic,Petrol,25896
Nissan,Almera,2022,50617,Fair,Automatic,Petrol,18047
Nissan,Serena,2012,198065,Fair,CVT,Petrol,17012
Nissan,Serena,2019,104893,Good,CVT,Petrol,36119
Nissan,X-Trail,2013,187094,Fair,Automatic,Petrol,37575
Nissan,Almera,2023,20304,Good,Automatic,Petrol,17187
Nissan,Serena,2017,126988,Excellent,Automatic,Petrol,80633
Nissan,X-Trail,2016,147235,Fair,Automatic,Petrol,20765
