make,model,year,mileage_km,condition,transmission,fuel_type,price_rm
Toyota,Camry,2018,110610,Good,Automatic,Petrol,98330
Toyota,Hilux,2017,123860,Excellent,Automatic,Petrol,74590
Toyota,Corolla,2018,96311,Good,CVT,Petrol,62775
Toyota,RAV4,2018,86317,Fair,Automatic,Petrol,16594
Toyota,Corolla,2023,24173,Good,CVT,Petrol,25072
Toyota,Corolla,2017,108879,Poor,Automatic,Petrol,23454
Toyota,RAV4,2023,41073,Good,Manual,Petrol,47414
Toyota,Vios,2021,54354,Like New,CVT,Petrol,68783
Toyota,Vios,2025,26005,New,CVT,Petrol,50583
Toyota,Vios,2013,162897,Good,Manual,Petrol,27563
Toyota,Hilux,2014,157594,Fair,Automatic,Petrol,25082
Toyota,Camry,2013,192121,Good,Manual,Petrol,59546
Toyota,Camry,2013,150982,Fair,Automatic,Petrol,48159
Toyota,Corolla,2022,34981,Excellent,CVT,Petrol,79931
Toyota,Hilux,2022,28689,Good,CVT,Petrol,103661
Toyota,Hilux,2025,1000,New,CVT,Petrol,126036
Toyota,Hilux,2016,126087,Good,Manual,Petrol,76993
Toyota,RAV4,2019,85913,Poor,Manual,Petrol,35068
Toyota,Hilux,2015,141637,Good,Manual,Petrol,54417
Toyota,Hilux,2017,94115,Fair,Automatic,Petrol,39146
Toyota,Vios,2010,239741,Fair,Manual,Petrol,9969
Toyota,RAV4,2019,92548,Good,Automatic,Petrol,34430
Toyota,Hilux,2021,53451,Excellent,Automatic,Petrol,116271
Toyota,RAV4,2021,57118,Excellent,CVT,Petrol,68008
Toyota,Corolla,2019,93609,Good,Automatic,Petrol,64313
Toyota,Camry,2011,199300,Poor,Manual,Petrol,30144
Toyota,Vios,2021,59486,Excellent,Automatic,Petrol,18914
Toyota,Camry,2013,180496,Fair,Automatic,Petrol,43156
Toyota,Hilux,2019,93742,Good,Automatic,Petrol,77818
Toyota,Hilux,2024,13390,Excellent,CVT,Petrol,112887
Toyota,Camry,2014,158435,Good,Automatic,Petrol,81278
Toyota,RAV4,2015,145281,Excellent,CVT,Petrol,81952
Toyota,Camry,2015,152653,Good,Automatic,Petrol,33400
Toyota,Vios,2024,7794,New,Automatic,Petrol,27506
Toyota,RAV4,2019,99574,Fair,CVT,Petrol,75330
